total_crypto_borrow,total_crypto_collateral,total_external_crypto_lending,total_stablecoin_borrow,total_stablecoin_collateral,total_external_stablecoin_lending,weighted_crypto_rate,weighted_stablecoin_rate,date,day
1063616488.2370902,4449664795.266684,335981453.78140384,1147085156.6262872,150195265.63185817,1178050413.1030388,0.0099059611251604,0.0447878511645274,2024-01-25,358
1073520362.8605056,4454588578.334002,324483115.48332536,1144661420.6338403,163289323.85760608,1180283676.1248937,0.0100137338610882,0.0439267697530056,2024-01-26,359
1096153384.288889,4481719185.041838,325274297.39248836,1145192636.5477242,163281702.78855973,1181569224.0105016,0.0103074321493607,0.0439308840632853,2024-01-27,360
1089151486.026477,4471069390.103827,322635245.99577594,1147149895.80203,170105358.56844586,1170472895.221788,0.0102791805155612,0.0443922987646943,2024-01-28,361
1135003694.1088674,4435896743.655617,304559591.4545377,1108818841.9498186,169837652.32370198,1156561862.3953755,0.0110403225368743,0.0421631431566928,2024-01-29,362
1138492563.1020715,4472933425.017404,289159326.1655617,1115757471.3445911,161950315.05050665,1113214028.5909088,0.0108633882060396,0.0736234436934692,2024-01-30,363
1122038207.2335348,4470476978.413386,292723296.87654877,1130617587.6063554,159892254.49345115,1147904106.7747104,0.0090798259898873,0.0447452450446748,2024-01-31,364
1140250746.0836926,4465989744.985299,287802372.30717695,1131114080.664558,156970503.655834,1160445040.965741,0.009447071758334,0.0459756910573112,2024-02-01,365
1151571724.1707797,4490770862.869175,313179064.01016915,1134109971.691306,157943666.18814573,1157840861.4460344,0.0096109888987507,0.0445867565017678,2024-02-02,366
1142636796.546799,4484561319.46274,302051112.8777223,1138167246.4969928,159362431.46490175,1158417094.7337918,0.0095102079499435,0.0447666191535415,2024-02-03,367
1140867359.955783,4508509178.470178,304392914.70133483,1152362171.0484862,161091699.3462124,1173567464.1340811,0.0095379524956121,0.0447140579406652,2024-02-04,368
1146425871.3724637,4533755869.947362,304039882.6599728,1155611999.9696488,164504466.987454,1166219800.0405655,0.0096355267362847,0.0452544915675487,2024-02-05,369
1175602435.6809366,4579741618.086662,272845732.0456436,1157460547.6152687,165224756.15339047,1167406303.8562615,0.0094588047489562,0.0452399743260892,2024-02-06,370
1195541201.988402,4590477793.988571,280607350.50744647,1173933292.874268,169393419.80654824,1155436168.4656549,0.0097536798601957,0.0549629784932721,2024-02-07,371
1200727734.4688551,4628892914.79628,274106278.75305593,1190121788.1480155,163555678.22675294,1149948673.3430097,0.0094330898012856,0.0830516631762843,2024-02-08,372
1251906315.5248077,4738495109.274145,281234395.8115427,1188226514.6632764,166559326.37850776,1139338058.3072195,0.0099888272237908,0.1021357905599498,2024-02-09,373
1257524138.006482,4769625713.922062,271939932.7045247,1194217155.0188642,167964573.7366677,1145310464.662156,0.0102187950767052,0.0983110856048093,2024-02-10,374
1244640890.970865,4766439682.410308,271002855.1467174,1189960416.0825198,144039067.2724526,1161181339.7326388,0.0101014958509169,0.1133479981135623,2024-02-11,375
1273906337.4752762,4858348809.480321,263736622.06526983,1198985269.3777435,139041249.99751237,1180058044.5080152,0.0101376974133936,0.0953505032879893,2024-02-12,376
1302292323.8621595,4905813327.098225,247278677.6440369,1200621620.6862648,139039908.34682888,1181861157.0553806,0.0103504748148022,0.0954243895994847,2024-02-13,377
1368671225.0036364,5099319438.128546,252354282.27391195,1211930427.8178494,141209707.55386016,1200716569.605544,0.0113184070452008,0.0622329526183791,2024-02-14,378
1428337583.0066652,5254579873.406144,254335598.71221292,1227222526.8976884,138308891.88594028,1214424735.3188076,0.0116090494026266,0.0895362207563554,2024-02-15,379
1438938235.2967372,5273872148.311887,254214110.3854917,1226290996.7451026,135994440.75079474,1216576655.269393,0.0119417693755641,0.0865548549064338,2024-02-16,380
1443427085.101031,5275688340.363997,258347520.1563564,1218927207.5363362,135375064.57949287,1215967478.0428803,0.0117465985644004,0.060923768818044,2024-02-17,381
1462187104.5991392,5312077233.0693035,262822475.54843712,1218759628.614853,134832135.5512158,1210050396.8813016,0.0118270184769665,0.0976831180916058,2024-02-18,382
1502150843.4151254,5404350613.874244,258417841.26437587,1234026546.6729617,147129446.5624708,1217766608.0700176,0.0118309891168577,0.0715323122448287,2024-02-19,383
1523204070.7191503,5456327825.50538,257589875.3526175,1244437467.1565366,159962467.53667894,1219889806.4065835,0.0118881112681019,0.0593862812329404,2024-02-20,384
1511518209.583484,5459779526.982355,268515961.8045449,1248101515.043397,158136791.4812007,1255826306.2456028,0.0119946504791722,0.0646202975039978,2024-02-21,385
1531278983.0681424,5508283031.709507,264545740.00995657,1269668820.5589583,163154512.85189205,1254727687.7981298,0.0123290576820588,0.0687136732973159,2024-02-22,386
1498069090.483462,5488703884.247555,251141937.1474495,1275547110.8810143,179568933.46244678,1239693229.7900405,0.011537498700782,0.0582180314173174,2024-02-23,387
1497419925.5809505,5537936821.764717,257712563.650393,1289345845.1943758,173169510.4530099,1261785081.452008,0.0111792140152458,0.0627600662027967,2024-02-24,388
1517104972.2136068,5601820639.7863,260343332.6867032,1297532941.9019382,171521065.92972827,1262083670.432161,0.0108725070815891,0.0739884678610701,2024-02-25,389
1538303827.0460606,5705945696.424477,263496649.44635215,1316766486.9788842,161970650.82303897,1296493088.3782709,0.0106650368020213,0.0903142042439697,2024-02-26,390
1616260292.1151197,5848946068.603287,248033046.79305476,1331996653.7193356,163156809.41731834,1308598156.897436,0.0103538150944524,0.0841133566109681,2024-02-27,391
1667217767.7519348,6159624181.163817,262736532.95086724,1401535754.9617896,199319532.14640653,1322668878.0011635,0.0101712585721457,0.1606446605044734,2024-02-28,392
1657800241.2139125,6280551984.65942,304289791.79796946,1458461827.8252103,181401301.1389355,1475520610.7747276,0.0109843534264527,0.0785485105738021,2024-02-29,393
